scenario_id,scenario,tcomm,tef,tc,lm,domain_id,controls
1,Inadequate human resources are available to execute the informaton security strategic security plan.,Organizational Leadership,Frequent,Medium,Medium,ORG,"1, 5, 7, 32, 14, 15, 16"
2,Budget does not adequately support the information security strategic plan.,Organizational Leadership,Frequent,Medium,Medium,ORG,"1, 5, 7, 32, 14, 15, 16"
3,Competing priorities within the institution results in inability to execute the information security strategic security plan.,Organizational Leadership,Occasional,Medium,Medium,ORG,"1, 5, 7, 32, 14, 15, 16"
4,Increased negligence by workforce members due to lack of appropriate delegated authority and security support.,Organizational Workforce,Occasional,Medium,Medium,ORG,"1, 3, 5, 7, 32, 14, 15, 16"
5,"The information security function implements a strategy that has unanticipated consequences on the insitution, interfering with other stated business objectives.",Organizational Security Team,Occasional,Medium,Low,ORG,"1, 7, 14, 15, 16"
6,Inconsistent interpretation or insecure actions by workforce.,Organizational Workforce,Frequent,Low,Low,POL,"9, 10, 11, 12"
7,Misuse of information assets.,Organizational Workforce,Occasional,Low,Low,POL,"9, 10, 11, 12"
8,"Noncompliance with laws, regulations, and contractual agreements.",Organizational Workforce,Rare,Medium,Low,POL,"9, 10, 11, 12"
9,New or changing privacy regulations are not implemented in organizational IT systems.,External Regulators,Occasional,Low,High,COMP,"8, 13"
10,"Internal workforce members execute financial fraud, embezzlement, or information theft made possible through lack of internal controls.",Organizational Workforce,Frequent,Medium,Medium,COMP,"8, 13"
11,External attackers locate previously unknown weaknesses in the information security program not revealed through internal controls.,External Attackers,Frequent,High,Medium,COMP,"8, 13"
12,External auditors find compliance issues with regulations and standards not identified via internal processes.,External Auditors,Rare,Medium,Medium,COMP,"8, 13"
13,Inability to accurately forecast the consequences of adopted technologies or innovations.,Organizational IT,Rare,Low,Low,RISK,"17, 18, 19, 20"
14,Lack of risk management at leadership level results in inability to adjust strategic and tactical plans to changing external threat environment.,Organizational IT,Rare,High,Medium,RISK,"17, 18, 19, 20"
15,Inability to understand specific threats related to attackers.,External Attackers,Occasional,Low,Medium,RISK,"17, 18, 19, 20"
16,Security failure or instability of providers or partners results in disclosure of organizational data.,Organizational Partners,Occasional,Low,Medium,RISK,"17, 18, 19, 20"
17,Internal user inappropriate use or misuse of information.,Organizational Workforce,Rare,High,Medium,PRI,"21, 22, 23, 24"
18,"Systemic noncompliance with privacy laws, regulations, and contractual agreements.",External Auditors,Occasional,Medium,Medium,PRI,"21, 22, 23, 24"
19,"Organizational security team cannot identify nor correct root cause of information breach, resulting in rework.",Organizational Security Team,Occasional,High,Low,IM,"25, 26, 27, 28, 59"
20,"Lack of incident handling results in noncompliance with laws, regulations, and contractual agreements.",Organizational Security Team,Rare,High,Medium,IM,"25, 26, 27, 28, 59"
21,Failure to address security incidents results in reputation loss.,Organizational Security Team,Occasional,Medium,Medium,IM,"25, 26, 27, 28, 59"
22,Undetected and unremediated security incidents result in unmitigated access.,External Attacker,Frequent,Medium,Medium,IM,"25, 26, 27, 28, 59"
23,Inadequate investigation results in inappropriate notifications.,External Attacker,Occasional,Low,Medium,IM,"25, 26, 27, 28, 59"
24,Changing cultural norms on the use of data combined with insufficient education results in privacy violations.,Organizational Workforce,Occasional,Medium,Low,HR,"30, 31, 60"
25,"Through insufficient training, workforce members cannot identify (or fail to report) potential information security incidents, resulting in loss from undetected attacks.",Organizational Workforce,Occasional,High,Medium,HR,"29, 30, 31, 60"
26,"Misuse of information assets or user errors (data entry errors, omissions, inadvertent acts or carelessness).",Organizational Workforce,Occasional,Low,Medium,HR,"30, 31, 60"
27,Successful social engineering attacks result in information or financial loss.,External Attacker,Occasional,Low,Low,HR,"29, 30, 31, 60"
